date,geo_value,hosps_7dav
2022-05-06,mo,9.7142857
2022-05-06,ms,3.2857143
2022-05-06,mt,2.8571429
2022-05-06,nc,7.7142857
2022-05-06,nd,0.1428571
2022-05-06,ne,0.8571429
2022-05-06,nh,3.2857143
2022-05-06,nj,17.7142857
2022-05-06,nm,10.2857143
2022-05-06,nv,6.5714286
2022-05-06,ny,34.5714286
2022-05-06,oh,14.8571429
2022-05-06,ok,5.2857143
2022-05-06,or,4.1428571
2022-05-06,pa,22.4285714
2022-05-06,pr,4.8571429
2022-05-06,ri,0.8571429
2022-05-06,sc,3.4285714
2022-05-06,sd,0.4285714
2022-05-06,tn,3.1428571
2022-05-06,tx,22.2857143
2022-05-06,ut,2
2022-05-06,va,7
2022-05-06,vi,0
2022-05-06,vt,1
2022-05-06,wa,8.5714286
2022-05-06,wi,7.2857143
2022-05-06,wv,3.1428571
2022-05-06,wy,0.5714286
2022-05-07,ak,0.5714286
2022-05-07,al,3.5714286
2022-05-07,ar,3.2857143
2022-05-07,as,0
2022-05-07,az,25.1428571
2022-05-07,ca,28.8571429
2022-05-07,co,37.1428571
2022-05-07,ct,10.8571429
2022-05-07,dc,0.1428571
2022-05-07,de,1
2022-05-07,fl,31.8571429
2022-05-07,ga,6.1428571
2022-05-07,hi,0.1428571
2022-05-07,ia,3
2022-05-07,id,2.1428571
2022-05-07,il,16.2857143
2022-05-07,in,6.7142857
2022-05-07,ks,2.1428571
2022-05-07,ky,9
2022-05-07,la,3.4285714
2022-05-07,ma,26.2857143
2022-05-07,md,6.5714286
2022-05-07,me,1.4285714
2022-05-07,mi,24.8571429
2022-05-07,mn,4.2857143
2022-05-07,mo,9.7142857
2022-05-07,ms,3
2022-05-07,mt,3
2022-05-07,nc,7.2857143
2022-05-07,nd,0.1428571
2022-05-07,ne,0.5714286
2022-05-07,nh,3.7142857
2022-05-07,nj,16.5714286
2022-05-07,nm,9.8571429
2022-05-07,nv,6.2857143
2022-05-07,ny,34.1428571
2022-05-07,oh,14.8571429
2022-05-07,ok,5
2022-05-07,or,4.2857143
2022-05-07,pa,22.2857143
2022-05-07,pr,4.4285714
2022-05-07,ri,0.8571429
2022-05-07,sc,3.2857143
2022-05-07,sd,0.5714286
2022-05-07,tn,3.2857143
2022-05-07,tx,23.5714286
2022-05-07,ut,2.4285714
2022-05-07,va,6.7142857
2022-05-07,vi,0
2022-05-07,vt,1
2022-05-07,wa,8.2857143
2022-05-07,wi,6.5714286
2022-05-07,wv,3.2857143
2022-05-07,wy,0.8571429
2022-05-08,ak,0.7142857
2022-05-08,al,3.1428571
2022-05-08,ar,3.2857143
2022-05-08,as,0
2022-05-08,az,24.8571429
2022-05-08,ca,29.1428571
2022-05-08,co,37
2022-05-08,ct,9.8571429
2022-05-08,dc,0.1428571
2022-05-08,de,1.1428571
2022-05-08,fl,34.2857143
2022-05-08,ga,6.2857143
2022-05-08,hi,0.1428571
2022-05-08,ia,2.7142857
2022-05-08,id,1.8571429
